k_b_p3,k_b_p11,k_op_succ,k_pt_lldr,k_pt_gfp,k_f_lldrcomplex,k_d_lldrmRNA,k_d_lldr,k_d_lldrcomplex,k_d_gfpmRNA,k_d_gfp,alpaga_basal,alpaga_act1,alpaga_act2,alpaga_k3,alpaga_k_act1,alpaga_k_act2,copy_nr,mumax,tc,cap,sigma,scale,score
7.845663819002492545e+00,8.350873743621608725e+00,1.100101653838585047e+00,5.013253902562856190e+00,2.654540105123922800e+00,7.130594227541820374e+00,5.878818854474926248e+00,7.709234503487054191e+00,6.782602389196751069e+00,1.235504878565768738e+00,1.487871544387910821e-03,5.274223254893644075e+00,3.924414862298072348e-01,2.335054847739766792e+00,5.797739567015578643e+01,3.067837384620317565e+01,5.618018566366076527e+01,5.000000000000000000e+00,5.212434999999999707e-01,1.041064017999999969e+01,3.336869299999999927e-01,4.265375040000000340e+00,2.399969927170816391e+02,1.538896060489506461e+06
7.953365985803920069e+00,7.554090943700558114e+00,2.316914052787404810e+00,2.343484927010561325e+00,2.456736600678735893e+00,9.741875710890720796e+00,2.703786903077397774e+00,1.786763539152373736e+00,5.365283703529880377e+00,3.552150887386283928e-01,7.499899654349270056e-03,7.437149767171502113e+00,4.950170285084359856e-01,6.189435353815608387e+00,6.576612555644591396e+01,8.492265971927601242e+01,3.027164990010209333e+00,5.000000000000000000e+00,5.212434999999999707e-01,1.041064017999999969e+01,3.336869299999999927e-01,4.265375040000000340e+00,8.408498679167134071e+01,1.572708322643322404e+06
3.694107524115270991e+00,3.521727944562525359e+00,2.231194840804889168e+00,9.689104854986815951e+00,8.616050112224049595e-01,5.905201337734763634e+00,5.906252407261181503e+00,5.733915536051605866e-01,8.241509073024555931e+00,3.760286825381092823e-02,2.684970326577574423e-02,3.052502692956347019e+00,1.718026458904824416e+00,6.186059645045212108e+00,3.384217552941004570e+00,3.517268921468965459e+01,7.333120298974435514e+01,5.000000000000000000e+00,5.212434999999999707e-01,1.041064017999999969e+01,3.336869299999999927e-01,4.265375040000000340e+00,1.563608984850996819e+02,1.577088442363260314e+06
5.344640511323568433e+00,4.547619129191123655e+00,2.052781390276224194e+00,9.318592972303362032e+00,1.254974122323248287e-01,1.494176030555670831e+00,9.335998170994544765e+00,9.927341203047992835e+00,8.210392978897196770e+00,2.025314437799728695e-01,7.785967451415552916e-03,4.948606685361207624e+00,3.074345669564551020e+00,9.603600960120832752e+00,4.069098970233952173e+01,6.946526893028359950e+01,3.561257865388704857e+01,5.000000000000000000e+00,5.212434999999999707e-01,1.041064017999999969e+01,3.336869299999999927e-01,4.265375040000000340e+00,9.983551758451648084e+02,1.600409554743654793e+06
8.966530127950193219e+00,3.623703515028547262e+00,7.939134435831826764e+00,9.060813157005174645e+00,3.646179846238343236e-01,8.172997549825547381e+00,9.558518132232615372e+00,2.050161523854781009e+00,2.629165790057528707e+00,5.984833622417137233e-01,2.107522284425232192e-03,9.343427515682888540e+00,1.900352680571100406e+00,5.106218237497036405e+00,5.928120021923405147e+01,8.796820261148771181e+01,4.541487857564195707e+01,5.000000000000000000e+00,5.212434999999999707e-01,1.041064017999999969e+01,3.336869299999999927e-01,4.265375040000000340e+00,5.573554341521083870e+02,1.603901619209834142e+06
7.652704556066090014e+00,3.496415922776083818e+00,9.891468843863757243e+00,1.349420109047652749e+00,6.267614827076360973e-01,1.638264597009364776e+00,4.770232560171654868e+00,2.573658037963108214e+00,7.131230529747865532e+00,2.151332426865780467e-01,5.948712381421753653e-03,1.193688710814943876e+00,2.621116587385687868e+00,4.790643046634230018e+00,6.635896376391033868e+01,6.614504532542532900e+01,5.173799982801132558e+01,5.000000000000000000e+00,5.212434999999999707e-01,1.041064017999999969e+01,3.336869299999999927e-01,4.265375040000000340e+00,4.836735368853228465e+02,1.613025149750277400e+06
5.041809711039881847e+00,9.268523148364915087e+00,5.982611707258982392e+00,1.298186729511626725e+00,2.027175300183140738e+00,3.855526213624380638e+00,7.949109521039388504e+00,2.257020627880740871e-01,5.828337227994699887e+00,3.710833233854132218e-01,9.009397107330855727e-04,3.948415610179429436e+00,1.855849562226020044e+00,9.234613558585307302e+00,6.013877503779053768e+01,4.884303815280723882e+01,4.950509710160677912e+01,5.000000000000000000e+00,5.212434999999999707e-01,1.041064017999999969e+01,3.336869299999999927e-01,4.265375040000000340e+00,1.110939700222879765e+02,1.626515582892394392e+06
1.557290723110780206e+00,9.329558783596192839e+00,7.761298305594625191e+00,3.680675529321664197e+00,1.536939035754195382e-01,5.633594510412813783e+00,5.987061727076132378e+00,6.390069467317827545e+00,8.386237638296755392e+00,1.845795602536532687e-01,1.204524414571090697e-02,8.729661030783230302e+00,2.049440072716671501e+00,9.999839218776441996e+00,8.797453549925030813e+01,4.215741948086415647e+01,4.949598552298161991e+01,5.000000000000000000e+00,5.212434999999999707e-01,1.041064017999999969e+01,3.336869299999999927e-01,4.265375040000000340e+00,6.527734614318636659e+02,1.626748918709991034e+06
7.188199147624353635e+00,6.608021136500025428e+00,6.802730862602452966e+00,8.128587434382898991e+00,2.443629305063980350e+00,9.359643785257272697e+00,7.957294096404887718e+00,7.958314868317868829e+00,3.982964653169383418e+00,5.161746873518703316e-01,7.367429231675684705e-03,3.769037119398759295e+00,6.949446906014474123e+00,9.404403039590919278e+00,5.774358908474416552e+01,2.302785163484890063e+01,3.852054344242533546e+01,5.000000000000000000e+00,5.212434999999999707e-01,1.041064017999999969e+01,3.336869299999999927e-01,4.265375040000000340e+00,8.307808811034873031e+01,1.642392245890503051e+06
2.245775580956224982e+00,3.650790862459345476e+00,1.045459284705812786e-01,8.505111069193821649e+00,9.538532731992656721e+00,3.290611309343429269e+00,2.352345885665665381e+00,6.093201422016383262e+00,7.789562088727225664e+00,1.127740942235810548e-02,5.320594534744419422e-03,4.503515200776614158e+00,6.938416390690311797e-01,1.450173864929845902e+00,9.144612974000615679e+01,8.507289257992995601e+01,7.317801180292323693e+01,5.000000000000000000e+00,5.212434999999999707e-01,1.041064017999999969e+01,3.336869299999999927e-01,4.265375040000000340e+00,1.472446105352243606e+01,1.660025907960885204e+06
