Time(h),ALP3 - 0.0 mM Lactate,ALP3 - 0.1 mM Lactate,ALP3 - 0.5 mM Lactate,ALP3 - 1.0 mM Lactate,ALP3 - 5.0 mM Lactate,ALP3 - 10 mM Lactate,ALP3 - 50 mM Lactate,ALP7 - 0.0 mM Lactate,ALP7 - 0.1 mM Lactate,ALP7 - 0.5 mM Lactate,ALP7 - 1.0 mM Lactate,ALP7 - 5.0 mM Lactate,ALP7 - 10 mM Lactate,ALP7 - 50 mM Lactate,ALP9 - 0.0 mM Lactate,ALP9 - 0.1 mM Lactate,ALP9 - 0.5 mM Lactate,ALP9 - 1.0 mM Lactate,ALP9 - 5.0 mM Lactate,ALP9 - 10 mM Lactate,ALP9 - 50 mM Lactate,ALP11 - 0.0 mM Lactate,ALP11 - 0.1 mM Lactate,ALP11 - 0.5 mM Lactate,ALP11 - 1.0 mM Lactate,ALP11 - 5.0 mM Lactate,ALP11 - 10 mM Lactate,ALP11 - 50 mM Lactate,PRD9 - 0.0 mM Lactate,PRD9 - 0.1 mM Lactate,PRD9 - 0.5 mM Lactate,PRD9 - 1.0 mM Lactate,PRD9 - 5.0 mM Lactate,PRD9 - 10 mM Lactate,PRD9 - 50 mM Lactate
0.016944444444444446,390.8496732026144,411.764705882353,415.66113624937157,429.59627005132,421.1764705882353,408.10457516339875,431.3725490196079,414.76190476190476,424.83660130718954,418.3006535947713,418.3006535947713,440.7843137254902,437.9084967320262,411.764705882353,337.891156462585,359.47712418300654,366.01307189542484,350.8044243338361,346.4052287581699,355.16339869281046,361.83006535947715,355.4901960784314,355.0779286073404,367.89844142785324,339.7435897435898,359.47712418300654,350.67873303167426,354.82654600301663,342.22222222222223,335.7214680744093,331.07088989441934,352.5641025641026,344.26847662141785,348.2905982905983,324.66063348416293
0.10027777777777777,415.9477124183007,402.3378582202112,389.7687280040222,445.19859225741584,415.66113624937157,418.3006535947713,418.3006535947713,418.0952380952381,409.1251885369533,437.9084967320262,435.14328808446453,450.98039215686276,435.14328808446453,418.3006535947713,363.8095238095238,348.4162895927602,365.3846153846154,371.7948717948718,346.40522875817004,324.66063348416293,333.3333333333333,347.84313725490193,339.7435897435898,378.20512820512823,365.3846153846154,361.48818501759683,365.3846153846154,333.3333333333333,335.6862745098039,333.3333333333333,358.97435897435906,352.5641025641026,329.0598290598291,352.407581319901,339.7435897435898
0.18416666666666667,387.4509803921569,412.7702362996481,402.58924082453495,439.03971845148317,450.98039215686276,441.4278531925591,438.6626445449975,428.1632653061224,441.80492709904473,405.2287581699347,410.25641025641033,437.90849673202615,423.0769230769231,419.30618401206635,348.9795918367347,358.97435897435906,339.7435897435898,352.5641025641026,346.4052287581699,333.33333333333337,361.236802413273,351.1764705882353,343.97677793904217,358.97435897435906,356.67634252539915,361.236802413273,344.09772617319794,352.5641025641026,338.75816993464053,307.6923076923077,331.1562651185293,348.08901790033866,333.3333333333333,335.26850507982584,326.9230769230769
0.2675,408.1045751633987,403.84615384615387,425.7164404223228,439.28398645379775,435.1432880844646,422.071392659628,407.71649733913887,422.08483393357346,435.89743589743597,399.94972347913523,429.4871794871795,415.66113624937157,391.852770885029,433.11562651185295,347.5787351977828,354.4992743105951,343.8558297048864,346.1538461538462,348.4162895927602,322.81083696178035,344.09772617319794,343.32840054260697,335.5104015481374,348.08901790033866,333.3333333333333,352.5641025641026,348.08901790033866,343.97677793904205,339.9773755656109,310.23222060957914,335.5104015481374,348.08901790033866,333.3333333333333,347.77544840437923,326.9230769230769
0.3511111111111111,391.43790849673206,404.0714495764441,406.73705379587733,421.37020910605816,441.55354449472105,418.3006535947713,425.7164404223228,402.280912364946,413.8848572810837,416.6666666666667,423.0769230769231,451.7345399698341,406.5934065934066,414.4556480703452,352.265434475677,335.3894533139816,356.67634252539915,343.97677793904205,348.2905982905983,329.2210933720368,341.799709724238,348.62251818966587,331.2368972746331,352.2012578616352,327.04402515723274,346.1538461538462,349.87188446307937,350.3870343492985,328.9341377576672,322.81083696178035,320.7547169811321,327.04402515723274,324.86695694242866,335.19683205217797,326.92307692307696
0.43472222222222223,408.0392156862745,414.00580551523944,378.20512820512823,446.4064935763049,430.62068650303945,437.90849673202615,403.84615384615387,403.92156862745105,411.4658925979681,410.25641025641033,423.0769230769231,429.4871794871795,420.41606192549597,398.5531311242856,349.6807953950811,331.27721335268507,350.3870343492985,339.622641509434,335.7214680744093,329.2210933720368,363.4233567640893,344.3790849673203,343.8155136268344,373.48814707305274,339.622641509434,350.26608611514274,329.10014513788104,335.26850507982584,329.7357162506996,322.6898887276246,320.75471698113205,327.0440251572327,335.3894533139816,337.1767994409504,314.10256410256414
0.5183333333333333,391.5686274509804,404.0667065084379,412.89592760180994,412.8613709634797,429.3496305150023,409.25087983911516,425.8421317244847,406.01307189542484,398.8872762457668,429.4871794871795,416.6666666666667,448.71794871794873,426.58442186744077,384.589297741351,344.33373349339735,337.44557329462987,337.80841799709725,333.3333333333333,365.3846153846154,324.98790517658443,365.47473367673143,347.6978939724038,341.9206579583938,354.37832607643924,333.3333333333333,365.3846153846154,360.6676342525399,337.4455732946299,323.57209937676083,303.9429124334785,308.17610062893084,327.04402515723274,341.799709724238,347.77544840437923,326.9230769230769
0.6016666666666667,404.7712418300653,417.7552007740687,407.71649733913887,428.99474739097377,438.78833584715943,393.5394670688788,429.4871794871795,404.640522875817,426.70537010159654,435.89743589743586,424.04450895016936,423.0769230769231,413.57206012378424,426.47196122866427,344.30625080220767,344.2186744073537,344.09772617319794,339.62264150943395,352.5641025641026,331.27721335268507,346.360169612112,355.43672014260255,345.91194968553464,339.62264150943395,339.622641509434,362.9656507014998,352.2012578616352,322.81083696178035,330.24691358024694,293.0575713594581,327.04402515723274,308.1761006289308,335.3894533139816,333.1765485853536,324.98790517658443
0.6852777777777778,411.24183006535947,392.35607160135464,407.5955491049831,430.78335457173785,432.23842243450093,406.3599798893917,438.53695324283564,413.2679738562092,417.7552007740687,442.3076923076923,402.5157232704403,414.1267537493953,421.4452214452215,414.2311012455296,364.2536259786934,337.6874697629415,337.5665215287857,339.622641509434,346.1538461538462,326.92307692307696,342.0060331825038,347.33012701936127,343.6990449569066,352.2012578616352,327.04402515723274,348.08901790033866,367.1988388969521,339.622641509434,323.5720993767609,320.75471698113205,345.91194968553464,333.3333333333333,341.799709724238,364.6320485943127,316.5215287856798
0.7688888888888888,398.6928104575164,426.8263183357523,394.895984518626,402.5157232704403,433.9160839160839,406.61136249371543,432.8737300435414,406.6013071895425,439.64683115626514,414.1267537493953,446.5408805031446,405.05563618771174,441.1154882852996,426.8263183357523,359.5515243134291,329.10014513788104,339.62264150943395,345.91194968553464,358.97435897435906,358.97435897435906,335.4700854700855,342.0060331825038,349.87188446307937,345.9119496855346,333.3333333333333,341.9206579583938,368.7398089913813,352.2012578616352,311.9339280086598,314.4654088050315,327.04402515723274,320.7547169811321,333.3333333333333,343.30484330484336,327.0440251572327
0.8525,400.1960784313726,411.4658925979681,401.18529269472674,431.28348474260423,424.3743677705941,438.78833584715943,433.11562651185295,405.2287581699347,414.1267537493953,427.06821480406387,433.96226415094344,430.4547653604257,413.57293815089247,445.81519109820994,335.5555555555556,360.6676342525399,345.91194968553464,333.3333333333333,331.39816158684084,356.67634252539915,337.52620545073376,346.22367465504726,331.46983461448866,339.62264150943395,345.9119496855346,339.62264150943395,345.91194968553464,352.2012578616352,340.8546534240208,339.622641509434,327.04402515723274,339.62264150943395,328.97919690372515,347.77544840437923,314.4654088050315
0.9361111111111111,396.6666666666667,404.93468795355585,401.42718916303824,437.6892615886327,417.5133043057572,403.84615384615387,420.1741654571843,416.4052287581699,424.2864054184809,417.7552007740687,427.6729559748428,424.04450895016936,439.64683115626514,416.82727005956207,345.5555555555555,322.93178519593613,352.2012578616352,345.91194968553464,331.1562651185293,346.1538461538462,344.09772617319794,343.13725490196083,347.891917074307,352.2012578616352,339.62264150943395,345.91194968553464,368.7398089913813,364.7798742138364,335.4545387471766,345.9119496855346,345.91194968553464,318.7747495923597,339.62264150943395,347.6589797344514,327.0440251572327
1.0197222222222222,417.04374057315243,415.0719418015015,401.42718916303824,419.5810877957421,445.4523463957426,432.25238813474107,439.5258829221093,423.0065359477124,430.5757135945816,417.63425253991295,433.9622641509434,398.76632801161105,430.0210199689705,452.3463957426222,349.93710691823895,358.49056603773585,333.3333333333333,339.62264150943395,344.2186744073536,337.5665215287857,356.91823899371076,361.6138763197587,331.35336594456095,364.7798742138364,364.7798742138364,345.91194968553464,356.16119263918,358.49056603773585,329.4073905431656,327.04402515723274,349.9883531330072,343.9319822967622,320.7547169811321,335.3133007221058,314.4654088050315
1.103611111111111,410.50779286073407,405.27065527065525,395.01693275278177,440.95038434661075,430.9116809116809,425.8421317244847,426.9472665699081,424.83660130718954,424.04450895016936,411.3449443638123,415.0943396226415,440.251572327044,446.4109731405329,406.2427207081295,362.15686274509807,339.62264150943395,327.04402515723274,345.9119496855346,331.27721335268507,366.95694242864056,348.20996613449444,359.2708007247408,343.6990449569066,345.9119496855346,349.9883531330072,371.0691823899371,356.3941299790356,349.98835313300725,326.860231271996,308.1761006289308,343.8155136268344,310.6219426974144,318.7747495923597,354.18122525040764,352.2012578616352
1.1872222222222222,418.86626445449974,417.6163342830009,430.4368471035138,441.0668530165385,423.30221880721325,403.84615384615387,439.4049346879536,421.5686274509804,404.93468795355585,442.9124334784712,427.6729559748428,440.3546023042879,424.14566565509966,449.3226898887276,356.6666666666667,350.104821802935,362.4505008152807,350.104821802935,360.7885824866957,345.9119496855346,354.4992743105951,359.5040580334698,356.16119263918,352.20125786163527,343.6990449569066,345.91194968553464,337.5262054507337,387.49126484975545,340.55201933485324,320.7547169811321,331.4698346144887,335.4297693920335,299.9068250640578,341.60260889820637,327.0440251572327
1.2702777777777778,415.53544494720967,414.9554731315738,420.53701015965163,423.34455667789,458.5218702865762,420.2951136913401,439.28398645379775,418.3006535947713,427.6729559748428,389.93710691823907,433.9622641509434,430.33381712626993,436.50217706821485,392.28819481457793,362.02614379084963,335.54623806196133,337.5262054507337,360.3540647565805,339.62264150943395,360.6676342525399,373.6090953072085,340.8119658119659,350.104821802935,339.62264150943395,347.77544840437923,339.622641509434,381.2019566736548,360.3540647565805,347.0252531480796,318.89121826228745,329.2569298858607,320.9876543209877,310.73841136734217,360.2375960866527,345.91194968553464
1.3541666666666667,417.483660130719,408.6661649554731,420.2951136913401,460.0319433652767,449.69739226121027,410.2564102564102,439.5258829221093,428.10457516339875,415.0943396226415,408.80503144654085,425.2271139063592,431.39995341253206,430.33381712626993,455.732946298984,365.3086419753086,347.77544840437923,356.16119263918,345.679012345679,358.4905660377358,358.49056603773585,367.07789066279634,347.5923132785878,324.9475890985325,329.0239925460051,351.8518518518519,343.9319822967622,368.7398089913813,347.891917074307,324.7460087082729,324.9475890985325,320.9876543209877,320.9876543209877,354.0647565804798,337.2615039281706,333.3333333333333
1.4375,422.19708396178993,415.1928900356573,417.63425253991295,450.49022721978696,455.3656220322887,429.4871794871795,445.81519109820994,405.2287581699347,421.3836477987422,421.3836477987422,418.82133706033073,416.2590263219194,440.251572327044,446.88132738447206,343.9285714285714,362.68343815513623,356.2776613091078,327.1604938271605,345.91194968553464,389.93710691823907,379.77745524915343,362.9781982723159,327.1604938271605,360.2375960866527,339.5061728395062,356.39412997903565,372.81621243885394,358.0246913580247,346.21669180492705,310.6219426974144,327.1604938271605,327.1604938271605,327.1604938271605,374.1863075196409,320.9876543209877
1.521388888888889,412.8330819507291,418.70486839040296,408.8050314465409,447.35616119263915,456.09579100145146,407.5955491049831,459.1194968553459,428.10457516339875,437.33985557884927,440.251572327044,416.2590263219194,431.28348474260423,416.4564308472207,449.20174165457183,366.60377358490564,354.18122525040764,368.9727463312369,327.1604938271605,362.5669694852085,383.6477987421384,392.4770198355104,342.23913341560404,345.679012345679,372.6997437689262,351.8518518518519,360.3540647565805,374.1863075196408,364.1975308641975,321.97987779748786,351.8518518518518,337.5982042648709,339.5061728395062,333.3333333333333,347.36251402918066,314.81481481481484
