Time(h),ALP7 - 0.1 mM Lactate,ALP7 - 0.2 mM Lactate,ALP7 - 0.3 mM Lactate,ALP7 - 0.5 mM Lactate,ALP7 - 1 mM Lactate,ALP7 - 2 mM Lactate,ALP7 - 3 mM Lactate,ALP7 - 5 mM Lactate,ALP7 - 10 mM Lactate,ALP7 - 20 mM Lactate,ALP7 - 30 mM Lactate,ALP7 - 50 mM Lactate
5.602777777777778,0.06,0.07566666666666666,0.074,0.05933333333333333,0.06,0.08333333333333333,0.075,0.06,0.061,0.08166666666666667,0.08233333333333333,0.064
5.6866666666666665,0.06066666666666667,0.077,0.075,0.059666666666666666,0.06,0.085,0.07633333333333332,0.06,0.06166666666666667,0.083,0.08366666666666667,0.06466666666666666
5.77,0.061,0.07833333333333332,0.07633333333333332,0.06033333333333333,0.061,0.08633333333333333,0.07733333333333332,0.061,0.062,0.08466666666666667,0.08533333333333333,0.06566666666666666
5.853611111111111,0.062,0.07933333333333333,0.07766666666666666,0.061,0.06133333333333333,0.08800000000000001,0.079,0.061,0.063,0.08633333333333333,0.08700000000000001,0.06633333333333334
5.937222222222222,0.062,0.08066666666666666,0.07933333333333333,0.061,0.06233333333333333,0.09000000000000001,0.08033333333333333,0.06166666666666667,0.06333333333333334,0.08766666666666667,0.08833333333333333,0.06666666666666667
6.020833333333333,0.063,0.08233333333333333,0.08066666666666666,0.062,0.06233333333333333,0.09166666666666667,0.082,0.06266666666666666,0.064,0.08966666666666667,0.09000000000000001,0.06766666666666667
6.104722222222223,0.06366666666666666,0.08366666666666667,0.082,0.06266666666666666,0.06333333333333334,0.09366666666666666,0.08333333333333333,0.063,0.065,0.09133333333333334,0.09200000000000001,0.06866666666666667
6.188055555555556,0.06433333333333334,0.08600000000000001,0.084,0.06333333333333334,0.06433333333333334,0.09599999999999999,0.085,0.06366666666666666,0.06566666666666666,0.09333333333333334,0.09400000000000001,0.07
6.271944444444444,0.06533333333333334,0.08800000000000001,0.08566666666666667,0.06433333333333334,0.065,0.09799999999999999,0.08700000000000001,0.06466666666666666,0.06666666666666667,0.09533333333333334,0.09666666666666668,0.071
6.355,0.066,0.09133333333333334,0.08766666666666667,0.06433333333333334,0.06533333333333334,0.10066666666666667,0.08900000000000001,0.06466666666666666,0.06766666666666667,0.09766666666666668,0.09866666666666668,0.072
6.438888888888889,0.067,0.09166666666666667,0.08933333333333333,0.06533333333333334,0.06633333333333334,0.103,0.09066666666666667,0.06566666666666666,0.06833333333333334,0.09999999999999999,0.10066666666666667,0.073
6.522222222222222,0.06766666666666667,0.09400000000000001,0.09100000000000001,0.06633333333333334,0.06733333333333334,0.105,0.09266666666666667,0.06666666666666667,0.06933333333333334,0.10133333333333333,0.10266666666666667,0.074
6.606111111111111,0.06833333333333334,0.09666666666666668,0.09366666666666668,0.067,0.068,0.108,0.09433333333333334,0.06733333333333334,0.07,0.10466666666666667,0.10533333333333333,0.07566666666666666
6.689444444444445,0.06933333333333334,0.09833333333333334,0.09533333333333334,0.068,0.069,0.11033333333333334,0.09666666666666668,0.06833333333333334,0.071,0.10666666666666667,0.10733333333333334,0.07633333333333332
6.773333333333333,0.07033333333333334,0.10000000000000002,0.09733333333333334,0.069,0.07,0.11299999999999999,0.09900000000000002,0.069,0.072,0.10933333333333334,0.11033333333333334,0.078
6.856944444444444,0.07133333333333335,0.10233333333333333,0.09933333333333334,0.06966666666666667,0.07100000000000001,0.11566666666666665,0.10100000000000002,0.07,0.07366666666666667,0.11166666666666668,0.11233333333333334,0.07966666666666666
