Time(h),ALP7 - 0.1 mM Lactate,ALP7 - 0.2 mM Lactate,ALP7 - 0.3 mM Lactate,ALP7 - 0.5 mM Lactate,ALP7 - 1 mM Lactate,ALP7 - 2 mM Lactate,ALP7 - 3 mM Lactate,ALP7 - 5 mM Lactate,ALP7 - 10 mM Lactate,ALP7 - 20 mM Lactate,ALP7 - 30 mM Lactate,ALP7 - 50 mM Lactate
0.016944444444444446,489.7959183673469,456.9934640522876,480.39215686274514,460.3894891289849,490.06802721088434,501.2578616352201,486.6666666666667,451.0960281548517,503.40136054421765,460.52554355075364,470.19607843137254,446.6666666666667
0.08583333333333333,466.92543684140327,483.52941176470586,460.65359477124184,467.05882352941177,453.3333333333333,486.1728395061728,453.98692810457516,460.5128205128205,453.3333333333333,456.86274509803917,423.921568627451,446.6666666666667
0.16944444444444445,477.124183006536,456.9934640522876,473.5947712418301,447.58169934640523,453.3333333333333,479.0123456790123,467.1895424836601,480.2564102564102,480.0,436.9934640522876,447.4509803921569,460.0
0.25333333333333335,456.9934640522876,483.52941176470586,453.72549019607845,447.3202614379085,469.93197278911566,466.6666666666667,480.1307189542484,441.28205128205127,446.6666666666667,450.4575163398693,463.66013071895424,453.3333333333333
0.33666666666666667,456.9934640522876,450.3267973856209,467.05882352941177,460.52287581699346,480.0,479.5061728395062,460.39215686274514,454.35897435897436,460.0,456.86274509803917,430.5882352941176,446.6666666666667
0.42027777777777775,457.124183006536,490.3267973856209,460.65359477124184,467.4509803921569,460.0,466.1728395061728,467.05882352941177,454.10256410256414,486.6666666666667,436.9934640522876,450.19607843137254,453.3333333333333
0.5036111111111111,450.5882352941176,463.66013071895424,467.05882352941177,480.2614379084968,466.6666666666667,517.5308641975308,440.7843137254902,467.1794871794871,446.6666666666667,430.4575163398693,460.65359477124184,440.0
0.5875,470.5882352941176,443.921568627451,460.52287581699346,453.98692810457516,453.3333333333333,501.81554103122727,454.1176470588236,473.8461538461538,453.3333333333333,476.86274509803917,453.98692810457516,446.6666666666667
0.6708333333333333,490.4575163398693,483.26797385620915,467.3202614379085,460.65359477124184,486.6666666666667,476.63035584604205,437.90849673202615,450.9703368526898,446.6666666666667,460.39215686274514,453.98692810457516,460.0
0.7544444444444445,483.66013071895424,470.4575163398693,454.2483660130719,440.91503267973854,460.0,458.2293523469994,490.19607843137254,447.9638009049774,453.3333333333333,447.3202614379085,453.98692810457516,446.6666666666667
0.8380555555555556,483.39869281045753,450.3267973856209,473.72549019607845,460.65359477124184,453.3333333333333,489.00772430184196,437.90849673202615,457.2498743086978,446.6666666666667,453.98692810457516,447.3202614379085,460.0
0.9216666666666666,483.39869281045753,476.73202614379085,467.1895424836601,453.98692810457516,433.3333333333333,502.07961972667863,477.124183006536,467.4459527400704,463.52941176470586,457.516339869281,450.98039215686276,430.4575163398693
1.0055555555555555,483.26797385620915,476.86274509803917,473.8562091503268,457.6370035193565,483.52941176470586,495.54367201426027,461.035696329814,473.9819004524887,457.2549019607843,431.3725490196079,470.58823529411774,480.2614379084968
1.0891666666666666,476.86274509803917,467.1895424836601,464.0522875816994,434.2483660130719,463.66013071895424,483.42245989304814,460.7843137254902,474.1075917546506,447.58169934640523,461.035696329814,461.035696329814,450.98039215686276
1.1725,473.98692810457516,450.98039215686276,493.5897435897436,489.68325791855204,483.66013071895424,501.6042780748664,454.7511312217195,473.9819004524887,460.52287581699346,474.3589743589744,474.1075917546506,434.2483660130719
1.2561111111111112,453.98692810457516,464.0522875816994,451.86023127199604,480.39215686274514,463.66013071895424,502.5549613784908,435.0175967823027,447.83810960281545,457.516339869281,467.4459527400704,467.5716440422323,457.516339869281
1.3397222222222223,487.05882352941177,448.0894922071393,451.4831573655103,444.55505279034696,496.9934640522876,492.88048552754435,464.55505279034696,480.7692307692308,464.0522875816994,467.4459527400704,473.9819004524887,457.516339869281
1.4233333333333333,453.98692810457516,487.0537958773253,474.7241905954448,470.58823529411774,476.60130718954247,492.29691876750695,484.0372046254399,454.49974861739565,477.124183006536,467.6973353443943,445.07290095525394,464.0522875816994
1.5069444444444444,460.392156862745,439.73800346349367,436.37411423204986,444.4444444444445,473.72549019607845,504.7852474323063,477.5012569130217,467.5716440422323,477.124183006536,454.62543991955755,471.0910005027652,450.98039215686276
1.5902777777777777,486.92810457516345,480.6435394670689,436.1227316277261,464.0522875816994,473.72549019607845,485.7609710550887,483.7858220211162,470.71155506227655,464.0522875816994,503.39366515837105,516.2141779788839,464.0522875816994
1.6741666666666666,486.92810457516345,467.5716440422323,465.2673035025976,457.516339869281,460.39215686274514,499.08424908424905,455.12820512820514,439.0183746454557,470.58823529411774,509.5525389643037,496.97629414610554,464.0522875816994
1.7575,477.124183006536,480.6435394670689,452.8098988883303,486.92810457516345,493.46405228758175,494.2645074224021,474.35897435897436,451.84363053397465,483.66013071895424,483.9115133232781,465.04596032897916,470.58823529411774
1.8411111111111111,477.124183006536,493.46405228758175,474.95238486729426,487.1794871794871,480.0,514.6198830409356,496.97629414610554,477.7407818473302,483.66013071895424,490.44508950169325,512.699564586357,503.2679738562092
1.9244444444444444,496.73202614379085,487.1794871794871,459.4644233009013,454.49974861739565,493.46405228758175,508.77192982456137,458.6357039187228,490.3193981995314,450.98039215686276,484.27672955974845,474.84276729559747,470.58823529411774
2.0083333333333333,467.69733534439416,464.9250120948234,487.300435413643,464.6807440925088,499.8692810457516,531.6014394961763,468.43251088534106,470.9581945985942,477.124183006536,490.4450895016933,480.89017900338655,486.92810457516345
