Time(h),ALP3 - 0.0 mM Lactate,ALP3 - 0.1 mM Lactate,ALP3 - 0.5 mM Lactate,ALP3 - 1.0 mM Lactate,ALP3 - 5.0 mM Lactate,ALP3 - 10 mM Lactate,ALP3 - 50 mM Lactate,ALP7 - 0.0 mM Lactate,ALP7 - 0.1 mM Lactate,ALP7 - 0.5 mM Lactate,ALP7 - 1.0 mM Lactate,ALP7 - 5.0 mM Lactate,ALP7 - 10 mM Lactate,ALP7 - 50 mM Lactate,ALP9 - 0.0 mM Lactate,ALP9 - 0.1 mM Lactate,ALP9 - 0.5 mM Lactate,ALP9 - 1.0 mM Lactate,ALP9 - 5.0 mM Lactate,ALP9 - 10 mM Lactate,ALP9 - 50 mM Lactate,ALP11 - 0.0 mM Lactate,ALP11 - 0.1 mM Lactate,ALP11 - 0.5 mM Lactate,ALP11 - 1.0 mM Lactate,ALP11 - 5.0 mM Lactate,ALP11 - 10 mM Lactate,ALP11 - 50 mM Lactate,PRD9 - 0.0 mM Lactate,PRD9 - 0.1 mM Lactate,PRD9 - 0.5 mM Lactate,PRD9 - 1.0 mM Lactate,PRD9 - 5.0 mM Lactate,PRD9 - 10 mM Lactate,PRD9 - 50 mM Lactate
10.463888888888889,0.17716666666666667,0.24566666666666667,0.19566666666666666,0.253,0.251,0.26766666666666666,0.284,0.09066666666666666,0.171,0.16166666666666665,0.169,0.16833333333333333,0.17400000000000002,0.2313333333333333,0.07166666666666667,0.19233333333333333,0.19366666666666665,0.18733333333333335,0.19099999999999998,0.19266666666666668,0.2306666666666667,0.17266666666666663,0.246,0.24166666666666667,0.24433333333333332,0.25766666666666665,0.26333333333333336,0.2783333333333334,0.14,0.265,0.271,0.266,0.27066666666666667,0.274,0.2913333333333333
10.5475,0.17983333333333337,0.248,0.19499999999999998,0.25466666666666665,0.253,0.26966666666666667,0.2856666666666667,0.09199999999999998,0.17333333333333334,0.16366666666666665,0.17166666666666666,0.171,0.17633333333333331,0.23466666666666666,0.07266666666666667,0.19499999999999998,0.19566666666666666,0.18966666666666665,0.19333333333333336,0.19466666666666668,0.233,0.17533333333333334,0.248,0.24266666666666667,0.24566666666666667,0.25866666666666666,0.26433333333333336,0.2803333333333333,0.14233333333333334,0.26633333333333337,0.272,0.26733333333333337,0.273,0.2753333333333334,0.29233333333333333
10.63111111111111,0.18233333333333335,0.25,0.19633333333333333,0.257,0.25466666666666665,0.272,0.2873333333333333,0.09383333333333332,0.17633333333333334,0.16666666666666666,0.17633333333333334,0.17300000000000001,0.18033333333333332,0.23766666666666666,0.07350000000000001,0.19566666666666666,0.19833333333333333,0.19233333333333333,0.19566666666666666,0.19699999999999998,0.23566666666666666,0.17833333333333332,0.25033333333333335,0.245,0.248,0.26066666666666666,0.267,0.2816666666666667,0.14466666666666667,0.26866666666666666,0.2743333333333334,0.26966666666666667,0.2743333333333334,0.2773333333333334,0.29433333333333334
10.714722222222223,0.18583333333333332,0.252,0.2006666666666667,0.25833333333333336,0.25666666666666665,0.27366666666666667,0.289,0.09549999999999999,0.17900000000000002,0.16866666666666666,0.17900000000000002,0.17600000000000002,0.18466666666666667,0.241,0.07433333333333333,0.19866666666666669,0.20166666666666666,0.19533333333333336,0.19899999999999998,0.20199999999999999,0.2383333333333333,0.1805,0.25166666666666665,0.247,0.25033333333333335,0.263,0.26866666666666666,0.2836666666666667,0.14716666666666667,0.27,0.27666666666666667,0.271,0.276,0.27999999999999997,0.296
10.798055555555555,0.18866666666666668,0.25333333333333335,0.2026666666666667,0.26033333333333336,0.25866666666666666,0.276,0.2913333333333333,0.09749999999999999,0.18200000000000002,0.17200000000000001,0.18200000000000002,0.17833333333333332,0.18733333333333335,0.24433333333333332,0.0755,0.20099999999999998,0.204,0.19766666666666666,0.20133333333333336,0.20333333333333334,0.242,0.18366666666666664,0.254,0.24866666666666667,0.25166666666666665,0.26466666666666666,0.27066666666666667,0.2856666666666667,0.1495,0.27233333333333337,0.2783333333333334,0.27366666666666667,0.27799999999999997,0.2813333333333333,0.2973333333333333
10.881666666666666,0.19166666666666665,0.25566666666666665,0.20433333333333337,0.26166666666666666,0.26033333333333336,0.2776666666666667,0.2953333333333333,0.09933333333333333,0.18466666666666667,0.17366666666666664,0.18400000000000002,0.18099999999999997,0.19133333333333336,0.24733333333333332,0.07666666666666667,0.20333333333333337,0.206,0.20033333333333334,0.20466666666666666,0.208,0.24533333333333332,0.18666666666666668,0.256,0.251,0.25433333333333336,0.267,0.27266666666666667,0.288,0.15233333333333335,0.274,0.2803333333333334,0.276,0.27999999999999997,0.284,0.29866666666666664
10.965277777777779,0.1941666666666667,0.257,0.20233333333333337,0.264,0.26233333333333336,0.2803333333333333,0.297,0.10133333333333333,0.18666666666666668,0.17600000000000002,0.18566666666666665,0.18333333333333335,0.19433333333333333,0.24966666666666668,0.07766666666666668,0.205,0.20866666666666667,0.2026666666666667,0.20666666666666667,0.20933333333333334,0.248,0.18900000000000003,0.25766666666666665,0.25266666666666665,0.25666666666666665,0.26833333333333337,0.274,0.2893333333333333,0.15466666666666667,0.2753333333333334,0.28200000000000003,0.2776666666666667,0.2823333333333333,0.2853333333333333,0.2996666666666667
11.04888888888889,0.19666666666666668,0.25866666666666666,0.20466666666666666,0.266,0.26466666666666666,0.28133333333333327,0.2996666666666667,0.103,0.18966666666666665,0.17833333333333332,0.18600000000000003,0.18566666666666665,0.19800000000000004,0.25266666666666665,0.07866666666666668,0.21066666666666667,0.21133333333333335,0.205,0.20966666666666667,0.21366666666666667,0.25066666666666665,0.19166666666666668,0.25966666666666666,0.25433333333333336,0.25833333333333336,0.26966666666666667,0.276,0.29066666666666663,0.15683333333333335,0.277,0.28333333333333327,0.279,0.2833333333333333,0.2876666666666667,0.30033333333333334
11.132777777777777,0.19933333333333333,0.261,0.20566666666666666,0.26766666666666666,0.26633333333333337,0.284,0.30066666666666664,0.10483333333333333,0.19166666666666665,0.18066666666666667,0.19099999999999998,0.18800000000000003,0.20133333333333336,0.25533333333333336,0.07966666666666668,0.21033333333333334,0.214,0.208,0.21166666666666667,0.216,0.253,0.19449999999999998,0.26133333333333336,0.25633333333333336,0.26033333333333336,0.272,0.278,0.29233333333333333,0.15933333333333335,0.2796666666666667,0.28633333333333333,0.28133333333333327,0.2856666666666667,0.28933333333333333,0.3016666666666667
11.216388888888888,0.2018333333333333,0.26233333333333336,0.20466666666666666,0.26933333333333337,0.26766666666666666,0.28633333333333333,0.30266666666666664,0.10716666666666667,0.19366666666666665,0.18333333333333335,0.18533333333333335,0.19000000000000003,0.2026666666666667,0.25766666666666665,0.08066666666666668,0.21266666666666667,0.21633333333333335,0.20966666666666667,0.21433333333333335,0.218,0.25566666666666665,0.19683333333333333,0.26333333333333336,0.25766666666666665,0.26333333333333336,0.2733333333333334,0.2793333333333334,0.293,0.1615,0.2813333333333334,0.28633333333333333,0.283,0.2873333333333333,0.291,0.3016666666666667
