as_input,k_b_dcas,k_b_sgrna,k_pt_dcas,k_pt_gfp,k_f_cascomplex_fw,k_f_cascomplex_rv,k_f_ascomplex_fw,k_f_ascomplex_rv,k_f_ascascomplex1_fw,k_f_ascascomplex1_rv,k_f_ascascomplex2_fw,k_f_ascascomplex2_rv,k_p_asrna,k_p_gfpmrna,k_d_dcasmrna,k_d_dcas,k_d_sgrna,k_d_cascomplex,k_d_asrna,k_d_ascomplex,k_d_ascascomplex,k_d_gfpmrna,k_d_gfp,kd_asrna,kd_dcas,n_inducer,n_cascomplex,scale,score
0.000000000000000000e+00,9.298493053407888453e+00,6.052980523355685705e+00,7.139761458418213635e+00,2.304310995003675977e+00,8.161761963353113103e+00,2.798601467112098895e+00,3.935418115208140666e+00,7.401683480355614186e+00,9.396759059155588290e+00,4.881905531560231992e+00,8.256641149557500725e+00,3.804757333622702742e+00,7.171112317873048703e+00,1.047067834100967154e+00,4.227814518506194830e+00,1.009222190239233097e+00,6.714068772544674601e+00,1.127702578117130816e+00,7.394316897469712657e+00,5.370038134819390407e+00,6.000922171315659526e+00,1.217365188649604191e+00,1.694506116252648964e-02,3.732612794762333763e+00,1.241809987629543865e+00,3.000000000000000000e+00,4.000000000000000000e+00,4.351276721063183572e+02,1.639699486689622427e+04
0.000000000000000000e+00,1.054070880567697976e+01,2.981011381812555427e+00,1.034951158841582419e+01,2.088933548733040269e+00,5.962145728627724850e+00,5.681717376269939113e-01,7.141677187869502674e+00,1.116520752382093251e+00,2.475041949492926552e+00,6.412731462764978962e-01,3.030850921879858273e+00,3.301167508627438352e+00,5.176375957748895473e+00,1.226968488426648074e+00,3.824268105363581416e+00,5.007203429991731625e+00,9.869885490597173350e-01,2.287354872333806355e-01,7.049359586802337319e+00,6.411356199748266427e+00,5.426376128114718256e+00,3.013962068173956954e+00,1.348332463990363494e-02,3.257638216839272793e+00,1.507926401880619993e+00,5.000000000000000000e+00,5.000000000000000000e+00,5.704058638772278300e+02,1.663047411754983113e+04
0.000000000000000000e+00,7.726152937688236300e+00,8.994377084565321923e+00,9.510558964321258912e+00,4.664325555568318293e+00,5.338131162162390808e+00,3.361037508895297621e-01,7.061448798907216329e+00,3.290000245939231238e+00,1.789615978314005984e+00,1.379012820707374187e+00,5.172750348052250757e+00,3.185367232394628711e+00,9.317209966050944203e+00,9.019247738509529322e-01,3.063030937828582267e+00,8.892538507054727148e+00,5.178006764137915496e+00,4.547836725639448074e-01,1.590271688688901452e+00,8.452344124771977718e+00,2.732389313100218597e+00,6.723001182562931888e+00,2.641404088095568314e-02,4.690482577210218551e+00,2.020313212104809519e+00,2.000000000000000000e+00,4.000000000000000000e+00,7.044352670530998921e+02,1.679114453690287337e+04
0.000000000000000000e+00,7.976140320228080505e+00,9.034212425867833574e+00,2.321917388884087607e+00,6.985851355596281564e+00,7.059449286355600428e+00,1.856294967214714653e+00,5.194541535721911574e-01,6.859023613222464455e+00,4.445707469963438463e+00,8.799132413921832985e-01,8.932409080394641876e+00,1.100963319975614807e+00,3.381387725226640217e+00,6.802053198859093763e-01,7.131909319083423071e+00,4.987879386981121321e+00,1.340630796438895267e+00,5.613708321999536510e-01,4.379175472451351858e+00,2.311385938264917783e+00,7.545542573685422916e+00,2.962693918613608979e+00,1.154947198011749797e-02,1.167851457510248325e+00,6.199037098214776886e-01,3.000000000000000000e+00,4.000000000000000000e+00,3.293722260716854748e+02,1.693014636603687904e+04
0.000000000000000000e+00,3.791546672923185035e+00,4.449499285698883533e+00,8.070814296733823667e+00,4.814624264364988915e-01,6.551352537894730155e+00,3.229427979487168976e+00,7.002473196818636225e+00,5.953121983911071169e+00,4.028344608799746318e+00,1.606000948518645055e+00,7.363829282426653577e+00,7.219222690391038810e+00,5.434318490507685340e+00,4.481366305887516610e+00,4.048799574413730618e+00,8.439006309232910397e+00,4.120272505357790216e+00,9.788634353998550974e-01,6.544793702451424444e+00,2.315889041239806989e+00,8.791098178405457375e+00,1.223135702004880088e+00,5.525791151208144479e-03,2.135011979827254436e+00,2.901198371152309829e-01,4.000000000000000000e+00,3.000000000000000000e+00,4.575218952536151846e+02,1.708244998047180707e+04
0.000000000000000000e+00,5.302706774777003140e+00,3.267875287728212452e+00,5.656629091604932213e+00,8.206038866997271697e+00,5.943379469153948769e+00,1.154892695493852761e+00,8.477974888302339807e+00,4.086734369133646183e+00,4.582372539283692703e+00,3.522575725254368240e-01,5.132450168204325536e+00,5.185715452545929693e+00,1.030636853440551981e+01,7.267795140999214754e-01,4.791404596619209144e+00,8.401955662817101711e+00,1.345900433995098400e+00,1.226246230934549403e-01,6.224951761394878602e+00,8.581166741356858196e+00,8.446420145007293101e+00,7.959038876017443087e+00,3.269000172796115988e-02,6.909005805865064964e+00,5.837559672417054202e-01,5.000000000000000000e+00,4.000000000000000000e+00,8.383249292724208317e+02,1.720306643777216959e+04
0.000000000000000000e+00,4.244961537489703396e+00,6.719410576858660278e+00,9.510853718068890572e+00,1.854491147778453364e+00,9.193146553106346985e+00,2.400227174496499583e+00,1.278661318050210660e+00,7.397633351911383492e+00,9.373411442768960100e+00,2.082453429861235161e+00,6.274567378154368713e-01,7.364388071681966075e+00,5.731575365059762284e+00,7.117175175992130898e-01,1.000657073919529338e+01,1.443615343141773755e+00,7.321786338407632933e+00,9.009973919339754334e-01,8.843506064986943471e+00,6.948311380665487924e+00,9.983948924455329887e+00,1.223417860813107438e+00,4.401555667413640377e-02,3.355820491807381067e+00,5.924844315915930304e-01,2.000000000000000000e+00,3.000000000000000000e+00,8.051582486311547200e+02,1.720894768388041484e+04
0.000000000000000000e+00,9.755233775322107448e+00,6.761574688179280201e+00,4.647677742012973567e+00,6.014629575433374065e+00,4.609736654913791476e+00,1.573904388507805230e+00,1.364909104117366434e+00,2.256811821911836269e+00,3.861496227211572485e+00,9.231301690370662172e+00,7.440500431651120294e-01,4.577453232381704318e+00,8.440159412492512558e+00,4.029207067659589803e-01,5.847235422197043953e+00,9.173535607655983526e+00,4.159440998277212642e-02,3.344618391255134160e+00,1.633162504768277401e+00,3.675964037597819090e+00,3.635877722982627347e+00,3.281408463025498268e+00,3.671148565451794188e-02,3.634705291327678722e+00,5.030375840204895921e-01,4.000000000000000000e+00,3.000000000000000000e+00,7.506660226570306804e+02,1.721691661012747500e+04
0.000000000000000000e+00,2.927740948552198130e+00,3.685560017841615021e+00,9.617226559564487687e+00,2.993591143846857094e-01,4.601247345333042027e+00,4.822953643308670046e-01,9.193485450597647102e+00,3.222305885682538396e+00,7.663342195453729744e+00,6.617813827732210719e-01,4.582618074708470601e+00,7.061774018589874302e+00,2.404678141953309201e+00,7.755151704289113823e+00,4.113558049313602361e+00,6.457705644438569870e+00,7.669703040043747144e+00,2.039298217075365738e+00,4.654313478330008635e+00,1.004551626674847853e+01,6.112373172327142612e+00,1.785255618707186853e+00,3.678621297682653501e-02,3.836782561924620971e+00,1.788600881925664632e-01,4.000000000000000000e+00,4.000000000000000000e+00,5.934314641692903933e+02,1.739301413439526368e+04
0.000000000000000000e+00,6.768902209914054779e+00,8.407527666423947110e+00,1.462012896841017318e+00,1.542953103038640750e+00,4.442959564767272163e+00,6.567348202287121017e-01,1.294063188979302392e+00,4.104931835557344699e-02,1.816838020540902932e+00,2.432328462081020160e+00,8.088347683134418986e+00,6.500978656044942738e+00,4.597285336478683426e+00,8.270982605747382976e+00,2.420936285198193871e-01,8.580315493232438584e+00,5.650101063447989347e+00,1.553923899427669779e-02,3.099042475430807020e+00,6.182659730564931344e+00,7.468518996799976328e+00,1.033392449406102998e+01,1.409910245914944770e-03,4.640541598882387042e+00,9.925136834285712695e-01,3.000000000000000000e+00,4.000000000000000000e+00,3.971367987808205839e+02,1.745595363585914674e+04
