k_b_p3,k_b_p11,k_op_succ,k_pt_lldr,k_pt_gfp,k_f_lldrcomplex,k_d_lldrmRNA,k_d_lldr,k_d_lldrcomplex,k_d_gfpmRNA,k_d_gfp,alpaga_basal,alpaga_act1,alpaga_act2,alpaga_k3,alpaga_k_act1,alpaga_k_act2,copy_nr,mumax,tc,cap,sigma,scale,score
6.897000177453118219e+00,7.035878417297785070e+00,6.733137640549061942e+00,2.639674657258021195e+00,6.291619978229257448e+00,7.199931099343618968e+00,2.969020857937541891e+00,3.949989310961144362e+00,8.464712719219649628e+00,5.544009157843205138e+00,2.456844162883130723e-03,4.383758281719083882e+00,1.294134908431596065e+00,2.822786048163822947e+00,1.086287283120736191e+02,4.061646434451920129e+01,1.356550732171998064e+01,4.046490161239421290e+00,4.380966233701168444e-01,1.237631523476929729e+01,3.766251874214854856e-01,5.053541225227015765e+00,6.996772195774175316e+02,9.978899869480557973e+05
3.252014951966948786e+00,5.497539282051018272e-01,5.206560074962256479e+00,2.693471490403772428e+00,2.941286341044709207e+00,3.241967179735012028e+00,5.394962007798202563e+00,1.174271170344000303e+00,2.242604844766885819e+00,1.852844582985450295e+00,5.036874623222013271e-03,3.934797357809721507e+00,3.729307435084063815e+00,8.279915333627023699e+00,6.791707669285851523e+01,4.944709424858029223e+01,3.124836151396268136e+01,4.991848489756403495e+00,3.648704499999999573e-01,1.042528469923522216e+01,2.615239619618273115e-01,4.122574694445804155e+00,2.389856952969618078e+02,9.981780151667689206e+05
7.902919340825363292e+00,4.480805408395649003e+00,1.198787921479023355e+00,1.400810882306165350e+00,9.925513631077365062e+00,1.155842908719573403e+00,4.999552360952627339e+00,5.417381355359628614e+00,5.453586206044320761e+00,3.871267347279117921e+00,1.054986113803588242e-03,1.829752025598336829e+00,3.090449837368403507e+00,9.113662189997498331e+00,4.649361156377338489e+01,3.935931457428702629e+01,5.232664337559533152e+01,6.499055442564327656e+00,3.821252124634416103e-01,1.353383223400000013e+01,4.157892931059345987e-01,5.544132186177778365e+00,1.337385548582899162e+02,1.004630987578867702e+06
4.903272527069977293e+00,2.096443360950999146e+00,6.579063497467962485e+00,6.570888075860415789e+00,6.768581505687216726e+00,6.232755118413181528e+00,9.478585857151822225e+00,2.776720283979777770e-01,4.614879029013063239e+00,8.219049101573369098e-01,1.300759109844362368e-02,7.164340812847337148e+00,1.177255542323580734e-01,9.183388271552168192e+00,1.841559227205672000e+00,4.320318037234610387e+01,2.581044692912157501e+01,5.148775345224306577e+00,4.165805905915093144e-01,1.075788121296697319e+01,2.335808509999999782e-01,4.097040669273718905e+00,4.464663416399589835e+01,1.005595617173753679e+06
7.522549095652721007e+00,3.496415922776083818e+00,9.705444031377405523e+00,1.371143943255003217e+00,5.718050843224468105e-01,1.689060898337785721e+00,4.685552599535150797e+00,2.535195272843985492e+00,7.047580807756334664e+00,2.301160650119102036e-01,4.164098666995227037e-03,1.189875727004511052e+00,2.524800014451824559e+00,4.893884642719633860e+00,6.564862374846221371e+01,6.742529726469467732e+01,5.275224743523739335e+01,5.068512626335391680e+00,4.276552901015028274e-01,1.024753994033564020e+01,3.546302870304775534e-01,4.312180962263751027e+00,4.889684573965477625e+02,1.008952597861155984e+06
8.449296464618694102e+00,6.840129932713846728e+00,9.620808721218988779e+00,7.406701771068391338e+00,1.406324069401984733e+00,5.210939373221173732e+00,4.197594146322228603e+00,3.117722989061824546e+00,6.217029505002661161e+00,1.277130429165449221e-01,4.887057318713436925e-03,6.268999445189870734e+00,2.796312195691285307e+00,5.243700259293960775e-01,9.221006066339489848e+01,6.153527776080340317e+01,2.077941598073620710e+01,5.191034781172199963e+00,5.369159430611764039e-01,1.080949674667322213e+01,3.194459778309294840e-01,4.102769718086967110e+00,1.592120002431116177e+02,1.009361387168917572e+06
9.506233489408554505e+00,8.014912938264451725e+00,1.431582484155966783e+00,2.763357057985019960e+00,7.123847026354582113e+00,3.682276397272679080e+00,9.694544667940084182e+00,2.160323082083996038e+00,9.225360859668759739e-01,7.202916951049394001e+00,9.797584152513335969e-04,8.654904445502276999e+00,6.484294674953705595e-01,7.766032589421209664e+00,5.023895688177262286e+01,6.716286922509033275e+01,6.050649363700991046e+00,4.964541915978071707e+00,3.650399855942025318e-01,1.057763898523674229e+01,2.651118342131546513e-01,4.153242534107341122e+00,2.577686664378251180e+02,1.021501600901546073e+06
3.127244848020438450e+00,7.117681336558847605e+00,2.537100356846311300e+00,4.130753493656420083e+00,6.241020420929838108e-01,1.926442657395738722e+00,5.026628640120096136e+00,7.306269803804886109e+00,8.979575046328530874e+00,1.008226312415092973e+00,4.303341590226678753e-03,5.089899686291833092e+00,8.817234313394893552e-02,1.970698267850971019e+00,6.047181054817178847e+01,8.790832780003073665e+00,3.345994051592588647e+01,4.986096691883565413e+00,3.955938115781660880e-01,1.051294664786499666e+01,3.263922040447678752e-01,4.271195258135602302e+00,9.798699104852199753e+02,1.038216045402044314e+06
4.376221069969293609e+00,1.580665073790614716e+00,6.654269781538894257e+00,2.149915352664133916e+00,5.725434876746870572e+00,2.752942591671939443e+00,3.912971984257752833e+00,2.595732746141543146e+00,4.357900737678343184e+00,1.911337984150438540e-01,1.293892516675535821e-02,6.321363940732570796e+00,3.520591839495241349e+00,9.396515658639099655e+00,7.566398227616494410e+01,4.181489433948748058e+01,8.572518676748823907e+01,4.803233714760436257e+00,5.136986760335224833e-01,1.084109200537365680e+01,3.130114363022423185e-01,4.442112348705011371e+00,2.323252031895510683e+01,1.038875199634261779e+06
9.103410302089367079e+00,6.358153217249181921e+00,4.901869195362641207e+00,1.074238880343923519e+01,8.034565962614907519e+00,5.329974169553687524e+00,1.054948178201567366e+01,7.181629683376820950e+00,6.285496250651238626e+00,4.287982955844118038e+00,4.880483920317407916e-03,8.485320341991020143e+00,8.639129481667268351e+00,5.271395089800670952e+00,8.046497851818959646e+01,1.636720498031946036e+01,3.032722821510478894e+01,4.494868861614565780e+00,4.817860562394570278e-01,1.146802882636688281e+01,2.826507050855140979e-01,3.837258085113612882e+00,1.944001925930564880e+02,1.039163090318643954e+06
