as_input,k_b_dcas,k_b_sgrna,k_pt_dcas,k_pt_gfp,k_f_cascomplex_fw,k_f_cascomplex_rv,k_f_ascomplex_fw,k_f_ascomplex_rv,k_f_ascascomplex1_fw,k_f_ascascomplex1_rv,k_f_ascascomplex2_fw,k_f_ascascomplex2_rv,k_p_asrna,k_p_gfpmrna,k_d_dcasmrna,k_d_dcas,k_d_sgrna,k_d_cascomplex,k_d_asrna,k_d_ascomplex,k_d_ascascomplex,k_d_gfpmrna,k_d_gfp,kd_asrna,kd_dcas,n_inducer,n_cascomplex,scale,score
0.000000000000000000e+00,7.445460205142814480e+00,7.433895401647091283e+00,7.971347807597054747e+00,2.439709764977859408e+00,5.788870020208087830e+00,4.976361662802275099e+00,8.489717270763296852e+00,6.300822168480816998e+00,6.300309799793920362e+00,3.465147904843048909e+00,6.040489033481644121e+00,8.103439934670323419e-01,8.292175397900910738e+00,1.038484556980734830e+00,5.540720702939065490e+00,1.002924455676275306e+00,4.136690617292313021e+00,8.917963583792990617e-03,4.626035488505753968e+00,5.785501216776729017e+00,2.119403890353588615e-01,2.006337468321555573e+00,1.342324940432073829e-02,1.333192618994847090e+00,1.998223639918758732e+00,1.000000000000000000e+00,4.000000000000000000e+00,3.687196274836950920e+02,2.065475066504366623e+04
0.000000000000000000e+00,4.764356225745633999e+00,8.683817452162877260e+00,7.100864976803082484e+00,2.038692407765504200e+00,6.879184336587354842e+00,7.736207969144620833e+00,6.222058853344702101e+00,4.204632955286776053e+00,2.055009793024734410e+00,2.711113840120499496e+00,8.034151242498802858e+00,6.253241803591668813e+00,7.893186329159497916e+00,8.816283800166411666e+00,1.409708734863805712e-01,6.844632756747508928e+00,9.074380629694264400e+00,1.732829169798754537e-02,6.885273184167123306e-03,4.059576281014369847e+00,1.345396895798312897e+00,6.012266510139629538e+00,3.671235475763896805e-02,2.781437447431596155e+00,1.335264494607984131e+00,1.000000000000000000e+00,4.000000000000000000e+00,1.216046890845720867e+02,2.066248838551924200e+04
0.000000000000000000e+00,7.417948156742460775e+00,8.030708689647932275e+00,7.281523610465454155e+00,1.147691910523757297e+00,4.277289303747588534e+00,7.179615495551048276e+00,8.081939251744781672e+00,6.230140429597788021e+00,3.576089594109086889e+00,9.320521696663794486e+00,8.160338968672776971e+00,3.546085154365352654e+00,8.892187835514828720e+00,8.422238471771949619e+00,6.222068697749338462e+00,1.695133191518458426e+00,3.001263193286580311e+00,4.901942360824209088e-01,1.099813972340838442e-01,5.809449763260890798e+00,4.713720794273045023e+00,7.377863548138251515e-01,3.079686919939856812e-03,6.653040541053237611e+00,9.553914678995384380e-01,2.000000000000000000e+00,3.000000000000000000e+00,7.588628542375579400e+01,2.071566819692092758e+04
0.000000000000000000e+00,5.129681166639231904e+00,2.998417623201658611e+00,4.555969116198211211e+00,1.179425950025653647e+00,6.981624102082425232e+00,1.696938987168540303e+00,9.253671875542547554e+00,3.532611493372452838e+00,3.251016469697748157e+00,9.986077562616488379e+00,7.996365067866281429e+00,9.562290157101223542e+00,6.484579205344379815e+00,3.740168047431152054e+00,6.865166662796536201e+00,5.167429968828611386e+00,6.339463974451474471e+00,2.233694042042638106e+00,5.613066829981812056e+00,8.737696592423500164e+00,5.453673731276159620e-01,5.330361707151149098e+00,4.036281610190137203e-02,1.788720458253371115e+00,1.277811538681471459e-01,1.000000000000000000e+00,5.000000000000000000e+00,7.297544441763257055e+02,2.076862729851407857e+04
0.000000000000000000e+00,8.960913997089383187e+00,4.915205203255321287e+00,6.634478998845953157e+00,4.333714527824132468e+00,1.746347490572758065e+00,3.308226243046937132e+00,3.141756442715459396e+00,9.781714612390503660e+00,9.123546460216800824e+00,7.121314374770335576e+00,2.884366873156498201e+00,9.206802125868611242e+00,7.478185884899052560e+00,4.848900922517194623e+00,6.045849492474727249e+00,1.513478005952811067e-01,4.725068797356079209e+00,6.246047122471796165e-01,1.043498822430801276e+00,3.156444801925977650e+00,1.531176850799791600e+00,8.106815608017665653e+00,4.586271003309875388e-02,8.979490786316400852e-01,2.673087237937842309e-01,3.000000000000000000e+00,1.000000000000000000e+00,2.237535865050204222e+02,2.133113350175598316e+04
0.000000000000000000e+00,5.999389428442287731e+00,7.363364690550211478e+00,2.577534388395422482e+00,2.200986856315660489e+00,9.842261543288516989e+00,1.697669535922829986e+00,9.829754095177580808e+00,4.357681565648656274e+00,2.660720650759049732e+00,1.612922201198089933e+00,4.025211446035357632e+00,4.516002834298157076e+00,7.955116712855142325e+00,1.984712466046307577e+00,4.966331623332520984e+00,3.812213062945519343e-02,9.793924307091939951e+00,2.710775409250398837e+00,3.100212668715428777e+00,3.461644987052836520e+00,6.585710126002625842e+00,6.541384731118037088e+00,9.287776831317274976e-04,3.556657944454540310e+00,3.718458292801849474e-01,4.000000000000000000e+00,3.000000000000000000e+00,6.079111139109958231e+02,2.145734702612065303e+04
0.000000000000000000e+00,8.713031301018107300e+00,8.690421526349036085e+00,4.351172546354749038e+00,1.620994772691831898e+00,4.595972207583518987e+00,1.278267480024230629e+00,2.909041426292344745e+00,8.610106501535106815e+00,9.099371724520672444e+00,2.794564107796236652e+00,7.995881703009278141e+00,7.150162043414944435e+00,5.435364271055179941e+00,7.430628184732698926e+00,2.407132842179371846e+00,2.819374881906435260e+00,4.092335449606352427e+00,1.016559909594495936e+00,6.033556018114753172e+00,2.789900900125443783e+00,2.696792061122760931e+00,6.755520496467259051e+00,4.659994140143922103e-02,4.512099172316673124e-01,1.409421173139433048e+00,2.000000000000000000e+00,3.000000000000000000e+00,2.728358399739730089e+02,2.161894036659232006e+04
0.000000000000000000e+00,9.374402451557902083e+00,6.747869901094027512e+00,6.077492141346032994e+00,2.691566692435352071e+00,2.132981875638752634e+00,8.823626613198514157e-01,5.954026299875767592e+00,2.943161437902829913e+00,3.383078341825362489e+00,9.668169306966754917e+00,3.502518608025232183e+00,3.745546431357583028e+00,9.860454697446730421e+00,7.889239397824640010e-01,1.619219589259869307e+00,2.877715275103102321e+00,4.739646947824388334e+00,8.632979044620301412e-01,1.793651988437390710e+00,8.818241999316285273e+00,3.444345167090366200e+00,4.457784566789115388e+00,4.307194646457556536e-02,3.322588652044216939e+00,1.447815273789562429e+00,4.000000000000000000e+00,5.000000000000000000e+00,9.369705962646077069e+02,2.227865660582746204e+04
0.000000000000000000e+00,1.852831735662858748e+00,2.606072648708169126e+00,5.438094432184542804e+00,7.555154737744510740e+00,4.421179721986797873e+00,1.317214606668712484e+00,7.727521513778689233e+00,5.793599438384844369e+00,8.375584162464933868e+00,6.530645463833352204e-01,7.555863875636259053e+00,7.986310913507619347e+00,7.525516842958195340e+00,6.546697168318689641e+00,7.705052564551360117e-01,2.318179119856234038e+00,8.409749138800840740e+00,1.849524635901220071e+00,3.991341108680806382e+00,2.042190801167004910e+00,7.213612350958944486e-01,7.462678814390670823e+00,4.789540416214969204e-02,6.254715344995886106e+00,1.821882328433796772e-01,4.000000000000000000e+00,3.000000000000000000e+00,7.906950572440065628e+01,2.234282001140278226e+04
0.000000000000000000e+00,3.653166478275704954e+00,1.844064844533487513e+00,3.021138120448312758e+00,5.822037523936143266e+00,9.467276588997437514e+00,5.881777437762073291e+00,8.347825693390776181e+00,5.862577410005833656e+00,3.819968160344957564e+00,3.770642428518947931e+00,6.920620748715816006e+00,9.968904424435910627e+00,6.661820176266676441e+00,2.744997292665091848e+00,2.801969630837750191e+00,9.335860442232487344e+00,7.382656211822502534e-01,6.429695748140553668e-01,1.372684474829126700e+00,5.506984547107213857e+00,1.382236652804170740e+00,9.945874334122105864e+00,1.409365223106753134e-02,6.042957894377404965e-02,1.769092797167036712e-01,3.000000000000000000e+00,2.000000000000000000e+00,1.991836494961996777e+02,2.288058543341102632e+04
