k_b_p3,k_b_p11,k_op_succ,k_pt_lldr,k_pt_gfp,k_f_lldrcomplex,k_d_lldrmRNA,k_d_lldr,k_d_lldrcomplex,k_d_gfpmRNA,k_d_gfp,alpaga_basal,alpaga_act1,alpaga_act2,alpaga_k3,alpaga_k_act1,alpaga_k_act2,copy_nr,mumax,tc,cap,sigma,scale,score
4.716866319269978014e+00,4.877690432490991768e+00,1.384615521427790430e+00,9.928244629979635860e+00,5.968762012157011743e-01,2.124799739723514769e+00,9.323176022987883727e+00,3.219360527265681338e+00,3.174701482119457463e+00,6.156771292887556341e-02,8.213098147221958856e-03,6.564331541610440190e+00,3.114586239980340121e+00,6.686697086655834177e+00,8.619086801288032973e+01,9.649856574483195004e+01,3.861963234589721594e+01,5.025758494312718483e+00,5.095586778608984790e-01,1.045230979518645320e+01,3.425737564962963999e-01,4.286951807690800642e+00,1.521028269035750213e+02,1.055720806414942723e+06
4.384593239822568655e+00,1.835531289274915379e-01,7.015033088001568551e+00,7.957386458901623882e+00,7.695844374338245419e-01,4.207963161236974337e+00,7.738993664584371324e+00,8.809439743669868150e+00,6.494014883783992609e+00,7.369894978107729422e-01,4.562908287873752682e-03,4.628462686585381292e+00,1.138278328735871925e-01,4.133961841320212827e+00,6.584097714530655310e+01,4.173399735224315776e+01,8.847556466550608434e+01,4.859590798385378996e+00,5.281531263182992486e-01,1.082439807006647570e+01,3.280743673482481304e-01,4.052110084219424202e+00,5.908681688710748858e+02,1.063911476150925737e+06
7.824878094906761561e+00,4.521862789265372662e+00,4.481541615971524450e+00,9.279922161348281406e+00,2.380116512052797006e-01,4.313543170667245796e+00,1.271780571342034483e+00,8.159918312651290861e+00,4.926428771042540844e-01,1.113000314804633434e-01,1.726361745814928086e-02,7.053612605096338584e+00,3.317785586895361849e+00,9.918651212374614001e-01,1.012209133560604073e+02,8.873724423064467715e+01,4.643718406533053411e+01,5.109765669123358833e+00,4.709534810982766717e-01,1.064958548701366148e+01,3.159433310705898057e-01,4.357328213094444180e+00,7.482630644703625649e+02,1.088830671957141953e+06
3.995744322389058301e+00,6.118313141234621888e+00,7.778437819552705967e+00,2.678247068257238794e+00,3.539040485073547959e+00,3.744308896920449659e-01,6.795036602811573623e+00,5.076755752340783800e+00,6.651286094865614729e+00,1.609414714978892658e+00,4.609055682533187877e-03,4.055338542442145311e+00,2.868517893191403267e+00,3.048356093771762865e+00,4.754379238184562695e+01,5.184096455478417020e+00,8.121458125735192368e+01,4.644795983706214493e+00,4.749455159333023646e-01,1.107461465010629631e+01,3.383357549424148014e-01,3.955112687733359778e+00,3.147739944345372578e+02,1.096781592141892295e+06
6.549842331678743079e+00,2.928332689681388157e+00,4.951898822133879996e+00,7.488456610545977554e+00,5.817429734173769074e-01,2.195120145551446633e+00,9.606641303559154466e+00,3.850070871918638282e+00,4.996951225333352120e+00,1.822776950388237394e-01,1.217848218709158270e-02,8.765017051773224210e+00,8.600859513378328103e+00,7.034313562898536709e+00,1.682803062775613512e+01,5.996634577676945632e+00,1.796053582625189549e+01,5.037865625917465451e+00,4.810884927046945037e-01,1.036253676164028903e+01,3.473641597341651788e-01,4.204818947459854961e+00,1.785307776283511032e+02,1.099700860594538506e+06
2.393800779819659663e+00,7.626050595303756729e+00,7.783319378420905821e+00,4.163123591387197564e+00,1.858535779391415454e+00,6.257598815046140572e+00,9.671356901471687140e-01,2.727413540542342751e+00,6.042816580405340865e+00,5.729799798485736284e-01,2.588133455245224170e-03,3.579801221277889134e+00,1.338863230904882018e+00,7.626043011069433497e+00,2.339735845038217121e+01,9.842834258457835972e+01,6.027379265358071336e+01,5.116894374744944685e+00,4.691191499999999848e-01,1.071935121957967851e+01,3.003182369999999879e-01,4.132366947629643406e+00,1.775462924441019936e+02,1.099801863899228629e+06
6.660000403936781943e+00,2.553448215229530138e+00,1.872564615530415200e+00,3.604672713031032316e+00,4.913114199304652985e+00,4.427085319877863689e+00,7.962830090975406172e+00,9.392918257876045729e+00,3.638388263820198976e+00,8.422002258928454888e-01,1.499691395264061543e-03,4.794153247810317153e-01,1.480896801083066538e+00,3.608021570420105295e+00,1.398081303219290916e+01,6.476320599106232123e+01,4.194720937740972033e+01,5.434001030487589645e+00,5.733678500000000122e-01,1.127544481036340862e+01,3.003182369999999879e-01,3.984124243889327843e+00,2.253961619581859850e+02,1.106307843074453296e+06
3.231919786150049489e+00,9.706349669252652745e+00,5.833872342775868525e+00,2.873773247227987326e+00,2.062088969973184582e+00,6.319290809360651906e+00,5.361719773598386141e+00,5.572238323620245737e+00,7.334270996515710905e+00,8.756086355547780808e-01,1.469028417050323573e-03,9.399825189734320574e+00,2.515754583845006623e-02,5.468252518533865292e+00,7.604606780530291132e+01,8.122568121159897458e+00,1.263604689039940432e+01,5.020593992429748909e+00,4.721471155077647808e-01,1.051842030411706830e+01,3.229947475674208035e-01,4.292301860202184294e+00,1.486903377083386033e+02,1.112034297126295511e+06
7.905183327849760744e+00,5.075397138597558921e+00,6.729338321944365653e+00,1.160565749903260224e+00,2.168222561939986193e+00,9.377231233877934002e+00,7.553680420842222354e+00,5.323195364933270390e+00,9.017250044425566102e+00,2.639924820705060182e-01,1.994229201971870966e-02,4.534168131185516870e+00,7.397422202316809026e-01,9.749807350303305142e+00,4.391315743993509813e+01,7.959176188184537182e+01,5.387940815684012819e+01,5.054599811868005332e+00,4.691191499999999848e-01,1.052901698170672873e+01,3.019639529944649903e-01,4.298266321626408981e+00,8.805215115086649291e+01,1.113835108015578706e+06
8.063121017907930010e+00,7.554090943700558114e+00,2.348887053489221444e+00,2.375824601037684225e+00,2.490639127603798020e+00,9.607439563565105090e+00,2.741098680113603692e+00,1.811420557319521452e+00,5.439323661728599824e+00,3.503131838674173326e-01,7.396402376742630853e-03,7.539781107526667192e+00,5.018481752144909880e-01,6.274848457799035550e+00,6.667368635959364553e+01,8.609457727726135090e+01,3.068939326970904435e+00,5.068999108239148121e+00,5.140504326649094624e-01,1.055430515772372857e+01,3.382917501202118427e-01,4.324236454813104480e+00,8.524534461265652396e+01,1.114665327016669326e+06
